LocalTime;Power(kW)
01/07/2006 00:00;0
01/07/2006 00:05;0
01/07/2006 00:10;0
01/07/2006 00:15;0
01/07/2006 00:20;0
01/07/2006 00:25;0
01/07/2006 00:30;0
01/07/2006 00:35;0
01/07/2006 00:40;0
01/07/2006 00:45;0
01/07/2006 00:50;0
01/07/2006 00:55;0
01/07/2006 01:00;0
01/07/2006 01:05;0
01/07/2006 01:10;0
01/07/2006 01:15;0
01/07/2006 01:20;0
01/07/2006 01:25;0
01/07/2006 01:30;0
01/07/2006 01:35;0
01/07/2006 01:40;0
01/07/2006 01:45;0
01/07/2006 01:50;0
01/07/2006 01:55;0
01/07/2006 02:00;0
01/07/2006 02:05;0
01/07/2006 02:10;0
01/07/2006 02:15;0
01/07/2006 02:20;0
01/07/2006 02:25;0
01/07/2006 02:30;0
01/07/2006 02:35;0
01/07/2006 02:40;0
01/07/2006 02:45;0
01/07/2006 02:50;0
01/07/2006 02:55;0
01/07/2006 03:00;0
01/07/2006 03:05;0
01/07/2006 03:10;0
01/07/2006 03:15;0
01/07/2006 03:20;0
01/07/2006 03:25;0
01/07/2006 03:30;0
01/07/2006 03:35;0
01/07/2006 03:40;0
01/07/2006 03:45;0
01/07/2006 03:50;0
01/07/2006 03:55;0
01/07/2006 04:00;0
01/07/2006 04:05;0
01/07/2006 04:10;0
01/07/2006 04:15;0
01/07/2006 04:20;0
01/07/2006 04:25;0
01/07/2006 04:30;0
01/07/2006 04:35;0
01/07/2006 04:40;0
01/07/2006 04:45;0
01/07/2006 04:50;0
01/07/2006 04:55;0
01/07/2006 05:00;0
01/07/2006 05:05;0
01/07/2006 05:10;0
01/07/2006 05:15;0
01/07/2006 05:20;0
01/07/2006 05:25;0
01/07/2006 05:30;0
01/07/2006 05:35;0
01/07/2006 05:40;0
01/07/2006 05:45;0
01/07/2006 05:50;0
01/07/2006 05:55;0
01/07/2006 06:00;0
01/07/2006 06:05;0
01/07/2006 06:10;0
01/07/2006 06:15;0
01/07/2006 06:20;0
01/07/2006 06:25;0
01/07/2006 06:30;0
01/07/2006 06:35;0
01/07/2006 06:40;0
01/07/2006 06:45;0
01/07/2006 06:50;0
01/07/2006 06:55;0
01/07/2006 07:00;0
01/07/2006 07:05;0
01/07/2006 07:10;0
01/07/2006 07:15;0
01/07/2006 07:20;0
01/07/2006 07:25;0
01/07/2006 07:30;0
01/07/2006 07:35;0
01/07/2006 07:40;0
01/07/2006 07:45;0
01/07/2006 07:50;0
01/07/2006 07:55;0
01/07/2006 08:00;0.005
01/07/2006 08:05;0.045
01/07/2006 08:10;0.11
01/07/2006 08:15;0.205
01/07/2006 08:20;0.42
01/07/2006 08:25;0.59
01/07/2006 08:30;0.645
01/07/2006 08:35;0.7
01/07/2006 08:40;0.75
01/07/2006 08:45;0.805
01/07/2006 08:50;0.735
01/07/2006 08:55;0.755
01/07/2006 09:00;0.945
01/07/2006 09:05;0.99
01/07/2006 09:10;1.1
01/07/2006 09:15;1.325
01/07/2006 09:20;1.615
01/07/2006 09:25;1.82
01/07/2006 09:30;1.89
01/07/2006 09:35;1.975
01/07/2006 09:40;2.145
01/07/2006 09:45;2.475
01/07/2006 09:50;2.59
01/07/2006 09:55;2.665
01/07/2006 10:00;2.74
01/07/2006 10:05;2.715
01/07/2006 10:10;2.63
01/07/2006 10:15;2.57
01/07/2006 10:20;2.455
01/07/2006 10:25;2.355
01/07/2006 10:30;2.29
01/07/2006 10:35;2.125
01/07/2006 10:40;1.98
01/07/2006 10:45;1.89
01/07/2006 10:50;1.945
01/07/2006 10:55;1.94
01/07/2006 11:00;1.855
01/07/2006 11:05;2.76
01/07/2006 11:10;2.94
01/07/2006 11:15;2.99
01/07/2006 11:20;2.6
01/07/2006 11:25;2.455
01/07/2006 11:30;2.925
01/07/2006 11:35;2.84
01/07/2006 11:40;3.075
01/07/2006 11:45;3.115
01/07/2006 11:50;3.115
01/07/2006 11:55;3.04
01/07/2006 12:00;2.95
01/07/2006 12:05;3
01/07/2006 12:10;3.065
01/07/2006 12:15;3.085
01/07/2006 12:20;3.095
01/07/2006 12:25;3.115
01/07/2006 12:30;3.135
01/07/2006 12:35;3.14
01/07/2006 12:40;3.14
01/07/2006 12:45;3.13
01/07/2006 12:50;3.14
01/07/2006 12:55;3.16
01/07/2006 13:00;3.17
01/07/2006 13:05;3.18
01/07/2006 13:10;3.19
01/07/2006 13:15;3.195
01/07/2006 13:20;3.205
01/07/2006 13:25;3.215
01/07/2006 13:30;3.205
01/07/2006 13:35;3.22
01/07/2006 13:40;3.225
01/07/2006 13:45;3.235
01/07/2006 13:50;3.25
01/07/2006 13:55;3.245
01/07/2006 14:00;3.29
01/07/2006 14:05;3.305
01/07/2006 14:10;3.29
01/07/2006 14:15;3.305
01/07/2006 14:20;3.3
01/07/2006 14:25;3.31
01/07/2006 14:30;3.29
01/07/2006 14:35;3.26
01/07/2006 14:40;3.235
01/07/2006 14:45;3.215
01/07/2006 14:50;3.185
01/07/2006 14:55;3.14
01/07/2006 15:00;2.965
01/07/2006 15:05;2.045
01/07/2006 15:10;2.565
01/07/2006 15:15;2.765
01/07/2006 15:20;2.31
01/07/2006 15:25;2.22
01/07/2006 15:30;1.04
01/07/2006 15:35;0.91
01/07/2006 15:40;0.65
01/07/2006 15:45;0.925
01/07/2006 15:50;1.925
01/07/2006 15:55;2.565
01/07/2006 16:00;2.205
01/07/2006 16:05;2.34
01/07/2006 16:10;1.775
01/07/2006 16:15;0.105
01/07/2006 16:20;1.005
01/07/2006 16:25;1.18
01/07/2006 16:30;0.05
01/07/2006 16:35;0.695
01/07/2006 16:40;1.145
01/07/2006 16:45;1.295
01/07/2006 16:50;1.12
01/07/2006 16:55;0.685
01/07/2006 17:00;0
01/07/2006 17:05;0
01/07/2006 17:10;0
01/07/2006 17:15;0
01/07/2006 17:20;0
01/07/2006 17:25;0
01/07/2006 17:30;0
01/07/2006 17:35;0
01/07/2006 17:40;0
01/07/2006 17:45;0
01/07/2006 17:50;0
01/07/2006 17:55;0
01/07/2006 18:00;0
01/07/2006 18:05;0
01/07/2006 18:10;0
01/07/2006 18:15;0
01/07/2006 18:20;0
01/07/2006 18:25;0
01/07/2006 18:30;0
01/07/2006 18:35;0
01/07/2006 18:40;0
01/07/2006 18:45;0
01/07/2006 18:50;0
01/07/2006 18:55;0
01/07/2006 19:00;0
01/07/2006 19:05;0
01/07/2006 19:10;0
01/07/2006 19:15;0
01/07/2006 19:20;0
01/07/2006 19:25;0
01/07/2006 19:30;0
01/07/2006 19:35;0
01/07/2006 19:40;0
01/07/2006 19:45;0
01/07/2006 19:50;0
01/07/2006 19:55;0
01/07/2006 20:00;0
01/07/2006 20:05;0
01/07/2006 20:10;0
01/07/2006 20:15;0
01/07/2006 20:20;0
01/07/2006 20:25;0
01/07/2006 20:30;0
01/07/2006 20:35;0
01/07/2006 20:40;0
01/07/2006 20:45;0
01/07/2006 20:50;0
01/07/2006 20:55;0
01/07/2006 21:00;0
01/07/2006 21:05;0
01/07/2006 21:10;0
01/07/2006 21:15;0
01/07/2006 21:20;0
01/07/2006 21:25;0
01/07/2006 21:30;0
01/07/2006 21:35;0
01/07/2006 21:40;0
01/07/2006 21:45;0
01/07/2006 21:50;0
01/07/2006 21:55;0
01/07/2006 22:00;0
01/07/2006 22:05;0
01/07/2006 22:10;0
01/07/2006 22:15;0
01/07/2006 22:20;0
01/07/2006 22:25;0
01/07/2006 22:30;0
01/07/2006 22:35;0
01/07/2006 22:40;0
01/07/2006 22:45;0
01/07/2006 22:50;0
01/07/2006 22:55;0
01/07/2006 23:00;0
01/07/2006 23:05;0
01/07/2006 23:10;0
01/07/2006 23:15;0
01/07/2006 23:20;0
01/07/2006 23:25;0
01/07/2006 23:30;0
01/07/2006 23:35;0
01/07/2006 23:40;0
01/07/2006 23:45;0
01/07/2006 23:50;0
01/07/2006 23:55;0
