water heater (kW);Clothes dryer - Regular (kW);Clothes dryer - PermPress (kW);Clothes dryer - Timed (kW);Clothes washer - Regular (kW);Clothes washer - PermPress (kW);Clothes washer - Timed (kW)
0;2.85;2.9;2.82;0.01;0.01;0
0;2.95;3.01;2.94;0.01;0.01;0.24
0;2.94;2.99;2.94;0.38;0.58;0.51
0;2.93;2.98;2.93;0.52;0.66;0.5
0;2.9;2.98;2.93;0.51;0.53;0.5
0;2.89;2.98;2.93;0.51;0.51;0.5
0;2.89;2.97;2.96;0.51;0.5;0.5
0;2.9;2.97;2.96;0.51;0.51;0.47
0;2.9;3.02;2.97;0.51;0.51;0.47
0;2.88;3.03;2.97;0.51;0.51;0.46
0;2.88;3.02;2.95;0.51;0.51;0.46
0;2.88;2.99;2.95;0.51;0.51;0.48
0;2.88;2.98;2.96;0.5;0.24;0.52
0;2.87;2.99;2.94;0.45;0;0.25
0;2.88;2.98;2.93;0.44;0.14;0.01
0;2.88;2.99;2.92;0.44;0.51;0.51
0.1;2.86;0.51;2.93;0.53;0.47;0.49
4.5;2.85;0.19;0.28;0.55;0.46;0.48
4.5;2.86;2.95;0.18;0.13;0.44;0.45
4.5;0.45;2.96;1.47;0.00001;0.44;0.45
4.4;0.2;2.67;2.93;0.45;0.47;0.45
0;0.2;0.19;2.94;0.65;0.51;0.55
0;1.48;0.19;2.93;0.57;0.37;0.51
0;2.91;2.31;2.81;0.51;0.01;0.51
0;2.91;2.97;0.18;0.47;0.15;0.51
0;2.9;0.99;0.18;0.44;0.52;
0;1.68;0.19;0.18;0.43;0.52;
0;0.19;0.19;1.87;0.43;0.53;
0;0.19;2.54;2.94;0.5;0.5;
0;0.19;2.73;2.95;0.52;0.47;
0;0.19;0.19;0.88;0.52;0.44;
0;1.97;0.19;0.18;0.52;0.44;
0;2.89;0.19;0.18;0.52;0.49;
0;2.88;2.02;0.18;0.52;0.57;
0;0.78;2.62;0.18;0.16;0.53;
1;0.19;0.19;0.18;;0.53;
4.5;0.19;0.18;0.18;;0.39;
4.5;0.19;0.19;0.18;;;
4.5;0.19;2.19;0.18;;;
4.5;0.19;2.56;0.18;;;
4.6;1.85;0.19;0.18;;;
4.6;2.9;0.19;0.18;;;
4.5;1.71;0.19;0.18;;;
4.6;0.19;0.19;0.1;;;
4.5;0.19;0.19;;;;
0;0.19;0.19;;;;
0;0.19;0.19;;;;
0;0.19;0.19;;;;
0;0.19;0.19;;;;
0;0.19;0.19;;;;
0;0.19;0.19;;;;
0;0.19;0.19;;;;
0;0.19;0.19;;;;
0;0.15;0.19;;;;
0;;0.19;;;;
0;;0.19;;;;
0;;0.19;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
1;;;;;;
4.5;;;;;;
4.5;;;;;;
4.5;;;;;;
4.5;;;;;;
4.6;;;;;;
4.6;;;;;;
1.3;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0.1;;;;;;
4.5;;;;;;
4.5;;;;;;
4.5;;;;;;
4.5;;;;;;
4.5;;;;;;
4.4;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0.2;;;;;;
4.6;;;;;;
4.6;;;;;;
2.5;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
3.1;;;;;;
4.5;;;;;;
4.5;;;;;;
4.5;;;;;;
4.5;;;;;;
4.5;;;;;;
4.5;;;;;;
0.1;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
3.3;;;;;;
4.4;;;;;;
4.4;;;;;;
4.4;;;;;;
4.4;;;;;;
4.4;;;;;;
4.5;;;;;;
4.2;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0.8;;;;;;
4.5;;;;;;
4.5;;;;;;
4.5;;;;;;
4.5;;;;;;
4.5;;;;;;
4.5;;;;;;
4.5;;;;;;
4.5;;;;;;
4.5;;;;;;
4.5;;;;;;
4.5;;;;;;
2.8;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
0;;;;;;
2.6;;;;;;
4.5;;;;;;
4.5;;;;;;
4.5;;;;;;
4.5;;;;;;
4.5;;;;;;
1.9;;;;;;
